Support Journey,DSAT Level,Comments,id,primary_topic,subtopic,issue_type,intent,sentiment,emotion,driver_type,root_cause,failure_stage,impact_severity,customer_effort,experience_impact,confidence_score,Action_Owner
I want to ask about family plan abuse,1,"They didn't respond to me, they didn't solve anything at all, I don't understand why they're giving me this survey",4326,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Confusion,People,Support team failed to acknowledge or respond to the customer inquiry,Initial Contact,Medium,Medium,Inconvenience,0.9,Support & QA
Question or issue with end of year recap,1,Issue not resolved.,4329,Product Features & Content,App Features & Navigation,Other,Complaint,Negative,Frustration,Unknown,Unspecified failure to resolve the customer's issue regarding the recap feature,Resolution,Medium,Medium,Inconvenience,0.85,Policy & Brand
Student plan question or issue,1,"Didn't solve my problem, took too much time",4330,Subscriptions & Memberships,Plan Management (Individual),Delay,Complaint,Negative,Frustration,Process,Inefficient support process leading to unresolved issues and excessive handling time,Resolution,Medium,High,Delay,0.9,Sales & Product
Non-SUJ identified issues,1,It didn't solve my problem.,4332,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Frustration,Unknown,Failure to provide a functional solution to the customer's problem,Resolution,Medium,Unknown,Inconvenience,0.85,Support & QA
I want to ask about family plan abuse,1,I need you to fix my problem of being able to watch YouTube at the rate I'm paying for.,4335,Subscriptions & Memberships,Premium Benefits & Access,System Failure,Complaint,Negative,Frustration,Technical,Inability to access service features at the subscribed price point,Service Delivery,High,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,The response was completely irrelevant; my complaint was not resolved.,4337,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Disappointment,People,Support provided irrelevant information failing to address the specific complaint,Support Interaction,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,1,I like using YouTube. It’s how I watch 98 percent of the entertainment I watch. YouTube’s customer service team is shit though. They don’t serve the customers.,4338,Customer Support Experience,Support Experience Feedback,Other,Feedback,Negative,Anger,People,General dissatisfaction with customer service effectiveness despite product affinity,Support Interaction,Medium,Unknown,Trust Loss,0.85,Support & QA
I want to ask about family plan abuse,1,Trash,4339,General Feedback & Brand,General Feedback,Other,Complaint,Negative,Anger,Unknown,Unknown,Unknown,Low,Unknown,Unknown,0.7,Policy & Brand
Playback Issues,1,My issue didnt resovle,4340,Technical & Playback Issues,Bugs & Technical Errors,System Failure,Complaint,Negative,Frustration,Process,Support interaction ended without resolving the technical playback problem,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
User wants to cancel and receive a refund (including due to free trial converting to paid),1,It doesn't solve my problem.,4341,Subscriptions & Memberships,Plan Management (Individual),Process,Complaint,Negative,Frustration,Process,Support flow failed to address the user's specific refund or cancellation request,Resolution,Medium,High,Inconvenience,0.85,Sales & Product
Non-SUJ identified issues,1,Not helping,4343,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Frustration,People,Support agent or system provided non-helpful or irrelevant assistance,Support Interaction,Medium,High,Inconvenience,0.8,Support & QA
I want to ask about family plan abuse,1,"Super disappointed with the help, tried to get some results to get back my premium that im paying for and I can't even get help with that because im traveling, not really a lot of help",4344,Subscriptions & Memberships,Premium Benefits & Access,Other,Complaint,Negative,Disappointment,Policy,Service access or support limitations due to the user's current geographic location/travel status,Resolution,High,High,Financial Impact,0.9,Sales & Product
Promotions/EFT question or issue,7,<<GSP_REDACTED>>,4345,Advertising & Promotions,Ad Experience,Other,Query,Positive,Satisfaction,Unknown,Unknown,None,Low,Unknown,Unknown,0.5,Sales & Product
I want to join or start a family plan,1,Note satisfy not  problem SOLVED,4346,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,Process,Issue unresolved after support interaction,Resolution,Medium,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,2,Very polite. Good customer service,4347,Customer Support Experience,Support Experience Feedback,Other,Feedback,Positive,Satisfaction,People,Polite agent interaction despite low DSAT score,None,Low,Low,Unknown,0.85,Support & QA
Playback Issues,2,Customer setvice was fine. Injust dont know what the issue is.,4351,Technical & Playback Issues,Playback & Streaming,System Failure,Complaint,Neutral,Confusion,Technical,Unresolved technical issue despite support interaction,Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
User sees Ads,1,I received a template with several steps but no actual follow up question,4354,Customer Support Experience,App Features & Navigation,Miscommunication,Complaint,Negative,Disappointment,Process,Ineffective template usage without proper follow-up,Support Interaction,Medium,Medium,Delay,0.9,Support & QA
User sees Ads,1,0 help,4357,Advertising & Promotions,Ad Experience,System Failure,Complaint,Negative,Frustration,Technical,Unresolved technical issue causing ads to appear for a user despite seeking support,Support Resolution,Medium,Medium,Inconvenience,0.85,Sales & Product
Promotions/EFT question or issue,1,WTF????,4360,Advertising & Promotions,Ad Experience,Other,Complaint,Negative,Anger,Unknown,Insufficient information provided by customer to determine specific cause,Unknown,Medium,Unknown,Inconvenience,0.6,Sales & Product
Non-SUJ identified issues,1,Thanks for nothing. My freaking had no idea. He was sick stare and had no idea that stupid woman you are the dumbest person I ever met had,4362,Customer Support Experience,Support Experience Feedback,Other,Complaint,Negative,Anger,People,Perceived lack of knowledge and professionalism from the support agent,Support Interaction,High,High,Inconvenience,0.85,Support & QA
User wants to cancel and receive a refund (including due to free trial converting to paid),1,"I wanted someone to speak to me. I have been left disabled, visually and physically by Google greet and stupidity.  LEGAL CASE COMING. I WILL SETTLE OUT OF COURT. PERHAOS. WITHOUT PREJUDICE.",4363,Cancellations & Refunds,Cancellations,System Failure,Complaint,Negative,Anger,Policy,Failure to provide human contact for complex cancellation/refund issues leading to legal threats,Support Interaction,Critical,High,Financial Impact,0.9,Support & QA
I have a question or complaint about pricing,5,I did not receive a proactive email as per the response.,4366,"Billing, Payments & Sales",Billing & Payment Issues,Miscommunication,Complaint,Negative,Disappointment,Process,Failure to deliver promised follow-up email communication,Post-Interaction Follow-up,Medium,Medium,Delay,0.9,Sales & Product
I want to ask about family plan abuse,1,Didn't provide a solution,4368,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,Process,Support failed to provide a definitive solution to the reported problem,Resolution,High,High,Inconvenience,0.9,Sales & Product
I want to ask about family plan abuse,1,My issue has not been solved,4369,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Frustration,Process,Unresolved customer issue following support contact,Resolution,High,High,Inconvenience,0.9,Sales & Product
Non-SUJ identified issues,1,"did not give me a straightforward answer, I still unsure what to do",4371,Customer Support Experience,Support Experience Feedback,Miscommunication,Complaint,Negative,Confusion,People,Agent provided vague or non-prescriptive information failing to guide the customer to a solution,Interaction,Medium,High,Inconvenience,0.9,Support & QA
Non-SUJ identified issues,6,"Sir, please bring back our YouTube channel, we will not make any mistakes in future.",4372,Account Management & Security,Policy & Enforcement,Other,Query,Neutral,Disappointment,Policy,Account termination due to policy violations and customer seeking reinstatement,Post-Interaction,High,Medium,Other,0.85,Policy & Brand
User wants to cancel and receive a refund (including due to free trial converting to paid),1,They didn't solve my problem.,4374,Subscriptions & Memberships,Plan Management (Individual),Other,Complaint,Negative,Disappointment,People,Failure of the support agent to resolve the core issue regarding cancellation or refund,Resolution,High,High,Trust Loss,0.88,Sales & Product
I want to ask about family plan abuse,1,"I'm enrolled in a family plan, however I can't enjoy the benefits of a premium plan",4376,Subscriptions & Memberships,Plan Management (Family/Student),System Failure,Complaint,Negative,Disappointment,Technical,Entitlement synchronization error between account and plan benefits,Product Usage,Medium,Medium,Inconvenience,0.9,Sales & Product
I want to know the status of my transaction,1,No resolution. Just asking to wait,4378,"Billing, Payments & Sales",Billing & Payment Issues,Delay,Complaint,Negative,Frustration,Process,Lack of real-time transaction updates or resolution capability,Support Interaction,Medium,Medium,Delay,0.88,Sales & Product
